likeCount,commentCount,dislikeCount,viewCount,likes/view,dislikes/view,comments/views,likes/dislikes,views/subscribers
2767,113,76,294273,0.009402833,0.000258264,0.000383997,36.40789474,0.950745611
114,13,6,7423,0.015357672,0.000808299,0.001751313,-2,0.323514288
7,0,1,265,0.026415094,0.003773585,0,-2,0.967486055
1199,50,50,87856,0.013647332,0.000569113,0.000569113,23.98,3.133300812
1312,43,47,136152,0.009636289,0.000345202,0.000315823,27.91489362,4.818181818
236,12,15,26019,0.009070295,0.000576502,0.000461201,-2,488.4390244
334,42,9,16297,0.02049457,0.000552249,0.002577161,-2,0.274336283
110,1,1,8271,0.01329948,0.000120904,0.000120904,-2,1.56097561
5,2,2,485,0.010309278,0.004123711,0.004123711,-2,14.91421362
172,20,8,8808,0.019527702,0.000908265,0.002270663,-2,84.41029113
1147,100,143,39239,0.029231122,0.003644333,0.002548485,8.020979021,3.723891273
642,149,267,38371,0.016731386,0.00695838,0.003883141,-2,3.723891273
30,2,0,216,0.138888889,0,0.009259259,-2,627.1592233
910,91,85,43330,0.021001616,0.001961689,0.002100162,-2,627.1592233
1624,105,42,61651,0.026341827,0.000681254,0.001703135,38.66666667,0.911135114
558,66,64,45438,0.01228047,0.001408513,0.001452529,-2,4.833333333
18074,2476,831,490230,0.036868409,0.001695123,0.00505069,21.74969916,0.62
15083,856,525,493643,0.03055447,0.001063522,0.001734047,28.72952381,140.9032258
1212,154,53,51525,0.023522562,0.001028627,0.00298884,22.86792453,243
15551,1825,237,630888,0.024649383,0.000375661,0.002892748,65.61603376,0.020015106
6547,509,776,402297,0.016274046,0.001928923,0.001265234,8.43685567,112.3478261
8175,500,322,606561,0.013477622,0.000530862,0.000824319,25.38819876,229.5986509
16480,1506,474,625113,0.026363234,0.000758263,0.002409164,34.76793249,158.652439
5619,1665,377,227418,0.024707807,0.00165774,0.00732132,14.90450928,54.05882353
2858,255,154,145750,0.019608919,0.001056604,0.001749571,18.55844156,54.05882353
22124,1852,694,1166854,0.018960384,0.000594762,0.001587174,31.87896254,82.34120172
18888,1685,563,800501,0.023595223,0.00070331,0.002104932,33.54884547,1.981651376
6447,442,266,366565,0.017587604,0.000725656,0.001205789,24.23684211,0.092729518
10864,3114,520,443332,0.024505337,0.001172936,0.007024081,20.89230769,0.131937861
3925,1325,218,259074,0.015150112,0.000841458,0.005114369,18.00458716,0.097240799
4286,1568,222,194807,0.022001263,0.001139589,0.008048992,19.30630631,1.049129738
11533,1137,938,934448,0.012342046,0.001003801,0.001216761,12.29530917,1.056433819
12375,1169,310,392955,0.031492156,0.000788894,0.002974895,39.91935484,0.110267445
4274,459,320,213572,0.020011987,0.001498324,0.002149158,13.35625,1.350148628
3637,1512,85,173002,0.021022878,0.000491324,0.008739783,42.78823529,0.860946385
5953,1340,253,239592,0.024846406,0.001055962,0.005592841,23.52964427,1.298086986
4733,1301,166,231480,0.020446691,0.000717125,0.005620356,28.51204819,1.337789686
7335,2839,352,417705,0.01756024,0.0008427,0.006796663,20.83806818,0.486691934
7192,1578,207,283363,0.025380872,0.000730512,0.005568829,34.74396135,0.31191616
11983,1060,173,248898,0.04814422,0.000695064,0.004258773,69.26589595,2.497156908
9440,812,316,456257,0.020690094,0.000692592,0.001779699,29.87341772,1.713133436
5935,1789,213,189657,0.031293335,0.00112308,0.009432818,27.86384977,0.784477169
21448,2082,469,1559624,0.013752033,0.000300714,0.001334937,45.73134328,0.948764427
6685,650,577,353777,0.018896084,0.001630971,0.001837316,11.58578856,0.554438198
10499,1576,466,295153,0.035571382,0.001578842,0.005339604,22.53004292,0.416901897
6921,215,210,330230,0.02095812,0.00063592,0.000651061,32.95714286,1.999790272
21741,1553,422,670315,0.032434005,0.000629555,0.002316821,51.51895735,0.840953789
3829,1286,384,192898,0.019849869,0.001990689,0.006666736,9.971354167,0.457060434
3287,257,283,243656,0.013490331,0.001161474,0.001054766,11.61484099,0.370237527
7445,504,180,248710,0.029934462,0.000723734,0.002026457,41.36111111,0.512745226
3764,413,234,255786,0.014715426,0.000914827,0.001614631,16.08547009,0.495384925
5714,444,593,365218,0.01564545,0.001623688,0.001215712,9.635750422,0.893920684
3939,1148,257,204517,0.019260013,0.001256619,0.005613225,15.32684825,0.606418518
3665,1118,192,190196,0.019269596,0.001009485,0.005878147,19.08854167,0.532660779
4896,2091,164,365220,0.013405619,0.000449044,0.005725316,29.85365854,0.976424916
2309,444,283,149509,0.015443886,0.001892863,0.002969721,8.159010601,0.405880502
4281,1518,107,159050,0.026916064,0.000672744,0.009544169,40.00934579,3.337714783
4787,392,234,322807,0.014829294,0.000724891,0.001214348,20.45726496,0.757109869
5631,1393,201,221798,0.025387966,0.00090623,0.006280489,28.01492537,0.63165002
5518,2956,154,321508,0.01716287,0.000478993,0.009194172,35.83116883,1.434525427
9102,844,146,221859,0.041026057,0.000658076,0.003804218,62.34246575,0.412816491
4482,1427,142,176720,0.025362155,0.000803531,0.008074921,31.56338028,0.521442497
7459,913,218,250218,0.029810006,0.00087124,0.003648818,34.21559633,0.532258444
4530,1388,192,195158,0.023211962,0.000983818,0.007112186,23.59375,0.781594485
2296,76,61,147535,0.015562409,0.000413461,0.000515132,37.63934426,0.43768204
3844,658,385,191120,0.020113018,0.002014441,0.003442863,9.984415584,0.407034004
