videoId,likes/dislikes
lZ6n8jd2agQ,16.23448275862069
7Kg6PEfqd_Q,15.936708860759493
Hj2VOLVa-Pg,6.322033898305085
tpt-amzZAnc,17.0
PPVjqJvAo2g,28.14782608695652
6xduGOoPquQ,-2
xOHBJtde2-c,31.77659574468085
c4atm5-inho,33.88
ZjevzfhvwEo,26.872340425531913
GQtNf4IKhXI,52.0
xadoqncFr4w,3.607391910739191
2p58i5nAJmM,34.71296296296296
yfQR9_SbJx4,-2
BxrDLfqh55U,92.484375
-rOArlZ9Lvs,10.616666666666667
xlN3PBVbvUI,122.50537634408602
LNCj0eeG0Aw,1.1858895705521473
OsSpPXtL9YY,4.255014326647564
aHTSkZ_5gUM,52.059701492537314
83AVO_aaDm4,-2
15puQuoAeqc,15.486486486486486
UF-8bV8lfJM,44.21111111111111
TvYtisAq6k0,15.347826086956522
CVpNNVeBBrA,109.0
Gl32xLJ0lXE,39.04255319148936
ANf3eVzGuJc,12.49438202247191
4rBEdrA1r_M,32.34939759036145
AUScmPg0wr4,22.262798634812288
PN38w0abbfw,35.184615384615384
rpW9Q2540w4,-2
JoCgvMFAtXE,18.464646464646464
oRxSaYziMzY,-2
F5gARd73FPQ,29.12987012987013
U0ytk-MutP4,-2
K7lVEErc5og,94.54166666666667
3OijDt7vUVk,23.868852459016395
rhbKLuevJqQ,35.06
hN3wxNhrF_k,72.86363636363636
AkPyKULwOEI,27.647727272727273
4dTQrRrwyWk,-2
IDn5Dr4jFGw,33.355932203389834
rI_xK39SaQE,41.5625
Bn5kl1mAqFo,101.97142857142858
8rlcLQ5kXfg,223.4
4QGngqooqX4,31.635514018691588
_iVbhergGGA,19.167192429022084
wJL8P0NVIUA,-2
Zb14y6V93f4,8.907894736842104
lzy0KCpEDgE,63.80952380952381
okt7nqOYF5w,16.294642857142858
U3CM9PcVZUM,-2
fUavAorDcZg,20.392265193370164
xwsJr3f5pks,-2
I_kwsRdDhDY,15.186813186813186
i3hLusPU6lU,-2
Qys7KPGxRdk,-2
mCsYrpQ2w3M,-2
xX3NOBiSie8,56.9041095890411
zF9qdiUG0Tc,-2
UrqEhhp2jMw,12.55
mHCfwoJSP50,-2
9yNi_YjeyDM,-2
lzOP3MTjDOo,-2
HBpwya-G-6E,-2
6IQ_VifOe74,39.31818181818182
xCARO_p1698,77.06666666666666
cnKXg_cBczI,-2
pXDe-lonyLI,-2
k6hnefjjI5A,88.0952380952381
F6wtGH2RuKA,36.857142857142854
pI338_dytzE,-2
pXoJ-jF8d50,50.8
ZofHBgo6Sc4,-2
Y0gzpgopALE,18.05607476635514
e_NSmUvq2O0,-2
IDc3Sfv8wMQ,-2
uTkmUU7SsPw,119.94117647058823
0in6rfjJRA0,10.033112582781458
75lPmNnMQ-Q,-2
Yjbbhxkxfng,-2
d_GyTaQJtAw,-2
mzRXu5Gc9y0,-2
NXEk2RWTTuk,-2
ZVLs6BiYNSM,120.4225352112676
t8qQKkAIKQg,-2
xq-0jelnNVM,40.71111111111111
q7aaYDyC2YA,26.517482517482517
kJQP7kiw5Fk,10.47446788126527
XQJi_jPG8gE,-2
vy2OM3e5tUE,22.587464291715676
ZpsLsmGo6II,17.824535857298873
1X_yQ8m0Q2o,20.648041204932106
nlQxDHfXhd0,34.70549450549451
tl_6qt72UTg,8.325358851674642
72UO0v5ESUo,10.189157604610374
rBPrIwwMYAw,42.816107846526094
yEM-3yMI6yc,26.415763365790923
w-6kttFzsqc,16.345454545454544
WBkeBvG4IpY,6.852431712191872
RVl1ZWxoe2w,13.024775962045334
Q4a9uwV4nmo,10.447621798575005
gR965hqGBd0,27.11305652826413
h8Wh18cYKvY,22.79049452871836
T--VFcUUPrg,39.72196519057061
_cDoRRsfay0,15.103474903474904
8zbpU1oGvto,14.389908256880734
e4WSs4WMGx0,10.018971332209107
Axn6swDxUDc,39.59608843537415
weKJWqw8-3g,24.98737289082579
oFEw5jLlTA8,-2
UC7q7lR5kIs,43.93476105492762
cJXnrMSr7zg,25.70967741935484
mnvagBdO128,12.603703703703705
7YYyPAOcVVA,10.628568327363508
nZD3xQaXdYE,19.3002849002849
h6vj8Ryu0LI,43.408264643266556
AijV0lS7zyY,28.534296028880867
O1qVr_1thLo,7.955875061973227
oX0jcZQ16ew,24.235018146410553
5mA82CWRopw,51.7658869036655
uiZbuWPo-dA,26.75485436893204
R9yNWbetJVU,17.205402363534045
hKqf9ThWN7o,18.484546883184912
BBNR5VLYZUc,34.164869029275806
I_ZUZl3RYfU,12.708356653894175
2VNOvUkYCRU,17.421319796954315
8UHN_UwDo6s,15.415094339622641
MvDaL_D4fZQ,20.340998685939553
45xwXO2EJk8,65.83653846153847
eWCXdTLxf4Q,35.744230247081184
t9OKlHH6BwM,67.47493403693932
Nf6UCfL_xCc,29.8882699604424
W_8-WA_vBuQ,-2
4bmUFRxNEIg,31.51558712441513
VJVJKwVmXok,4.59165613147914
-t9LjQdrMiM,85.18163265306123
8hRGBcr_gJc,26.260503739551254
6L-3pkA_js0,13.129032258064516
W13MxGLmhqI,5.18012668250198
u7p8o6lZGxw,13.888086642599278
-P8KeFV8HhA,10.191792294807371
-bwcoWcoji0,19.628110161443495
RwmtZJ0BQ7I,19.375404530744337
zTMLfXLqfZU,-2
IfbB2IIZEpI,16.00227100681302
whwe0KD_rGw,11.8668416447944
5uqadN15Wjo,-2
7M6KF0KSk5o,13.227703984819735
vp3jS-KegTI,38.55263157894737
vZ3F9HiPUII,6.806685919313906
yhN_wvraz-Y,15.093358009459182
ARoHfTBQer4,9.25
DskgUN-4vK4,-2
rG6LSceQCLw,20.57037037037037
WTg1EvLMlv8,27.50221483942414
Z_83dLLERD4,16.595092024539877
7xt92SQhJ2Q,14.857550942677586
USHimdV3EzM,22.0010162601626
1GSRoLgLjuQ,16.704225352112676
jtatzJRPNZE,17.97910643889619
EsfSuL-VFBw,25.86713850564415
WEMbpF-KDDY,6.343396226415094
CuDdhvvv9d8,6.126259946949602
N972I0t4H5A,6.60788657509969
yyM9ZA33IJI,79.73562359970127
cSEFT41noiE,17.11764705882353
TVK6UNFjxSM,42.396388650042994
XUJSH8pJOuU,30.62135922330097
gASAtd67D84,24.43687337541775
bI3x6Orv1UI,4.149488251405507
TfAaW9ZOTIU,7.270411923675375
wjjoC391o-4,9.023316062176166
zlabsbE4aiQ,10.944324157129602
IX3z6tj9dxg,27.323741007194243
Ckw2lfuVTdM,25.40511788384129
V7MvgS9kWME,6.029548989113531
_amXH_bMhwU,8.889821233126597
c6Bnx3ktFjg,-2
sneh9h2BrXU,82.28664495114006
XQqZ9lXbaK0,31.07107843137255
bUiRXoeUO9U,11.779352226720647
ZkE4lGNPjkc,38.5
0hIFLbujFMo,4.5949362947940005
vRpLJS3929I,17.39453125
c3Ql7uW-XWM,6.151295475902805
8Kfjioi0aFA,8.784052520874498
4yNn9K40uf8,4.540616246498599
zBTEDnlaFpE,-2
dgFgGrljh1I,20.274080560420316
nSJ74VjTZns,13.008001391546356
kY9L8rd-2eM,24.25826972010178
RB9gXLgxDXw,6.047961630695443
OY97SqzF6ak,-2
x724C_mntSE,12.960502692998205
lvfigaZfHRY,1.5035453196284285
wjSmV2ObcdI,28.266666666666666
Q-DmCZcYK6I,9.906337745687926
HMZecrhIT0A,6.681233354589445
3p_IUdFX-O4,9.888059701492537
QGB_QMx-1u8,9.490961677512654
wlgBXcYx1gI,17.825
wJVSt40tZCg,9.711267605633802
pbk_MoHS11Y,38.431753431753435
tw6yn04GXNA,21.732558139534884
QoPI12ukIV0,7.498158863755918
lnRnF42Y3pY,64.13461538461539
n30InDrprfo,32.37918410041841
8u-elAES20k,28.43859649122807
7wJj2hSaz6Q,-2
iqjzwBnWZu4,53.26
R6XsCXaZyiU,19.412610619469028
jJ-_pFer_Ic,14.99322033898305
rhi3RaXGb_8,9.476129363449692
TSqoYlD9Zpw,21.26380231522707
QwyLUR7XYbY,11.420570264765784
SYuOec8wmgw,33.524193548387096
xKthNleMn4Q,22.92425847457627
X-qeFRNQXbo,20.762738853503183
MPhNFTdhG3E,108.88083735909822
72Dv4s5DyGg,18.454545454545453
FJlnBXsYhDo,5.883944153577661
Enwp_g0NzSM,29.562165058949624
gJX8_Htt6Vk,28.137440758293838
NMusNLY5yT0,22.42039695945946
_bmvtK4YHbk,-2
vfjj0Iot7OE,31.981186685962374
ASAzwmORUJk,29.003317249698433
1h6oihZHGCE,5.10084985835694
qkxSAPxQ_Rc,49.06330749354005
vgmbHMcowx4,15.721508140531277
GoKzHLQLBiQ,24.311960542540074
k_4ag6z5G8o,19.387403446226976
JJkkhAxd_00,29.923523206751057
DYK7YOWioas,-2
DvaqVWV87PM,30.242000685166154
lsXvF0C1_Kw,53.50084175084175
yV9N2_tB7EY,8.041928467858869
MiA-98ArQ40,17.537190082644628
H2C38DEu12A,2.142105263157895
wCI7PkMWO6A,17.58872305140962
CDQzXcSG64g,-2
SrycAULrPs8,-2
