videoId,likeCount,commentCount,dislikeCount,viewCount,likes/view,dislikes/view,comments/views,likes/dislikes,views/subscribers
SVHYd3p9yQA,88,41,26,1782,0.04938271604938271,0.014590347923681257,0.023007856341189674,-2,0.33884995775557875
By1JQFxfLMM,33426,14963,943,17466840,0.0019136832993260373,5.398801385940445e-05,0.0008566518042187368,35.44644750795334,0.9167251461988304
tBozgYVgeDE,12233,422,943,4174952,0.0029300935675428126,0.00022587086031168743,0.00010107900641731928,12.972428419936373,0.5520637898686679
eMIo0G3hhaw,5765,1850,1038,1102067,0.005231079417131627,0.0009418665108382703,0.0016786638198947976,5.553949903660886,62.946910497059534
T73v-1P9ccY,178,61,4,17052,0.010438658221909453,0.0002345765892563922,0.003577292986159981,-2,0.8300180831826401
X8RDl2ZM3M4,3,0,0,744,0.004032258064516129,0.0,0.0,-2,1.159549508479921
M16C-N7ESQg,1653,54,121,409070,0.004040873200185788,0.0002957928960813553,0.00013200674701151392,13.661157024793388,1.159549508479921
jABEyOF7078,43,10,5,4367,0.00984657659720632,0.001144950767117014,0.002289901534234028,-2,556.5176868655798
frRbilq3sGo,1750,70,31,137337,0.012742378237474242,0.00022572212877811516,0.0005096951294989697,56.45161290322581,490.9541137181767
fDZgvFOFitk,69,16,3,11594,0.005951354148697602,0.00025875452820424356,0.0013800241504226323,-2,147.24841111312875
YMkOXPCFwF4,153,25,7,67369,0.0022710742329558106,0.00010390535706333773,0.0003710905609404919,-2,64.36360832690825
wk_EAQooa24,445,320,85,94957,0.004686331708036269,0.0008951420116473772,0.003369946396790126,-2,1162.41782729805
3nbjhpcZ9_g,14597,4206,601,9874515,0.0014782498178391545,6.086374875120449e-05,0.0004259449704618404,24.28785357737105,1.866910229645094
G1r_rkaIDTU,145,27,21,66418,0.002183143123851968,0.0003161793489716643,0.00040651630582071125,-2,127.18635076274883
MsiBI5IyeUg,11,4,1,2791,0.003941239699032604,0.00035829451809387314,0.0014331780723754925,-2,682.1540342298289
QwlK4kFvKNI,61,10,54,44813,0.0013612121482605493,0.0012050074755093388,0.0002231495325017294,-2,0.007414235068665599
JERTjxgWxkA,2552,315,347,1065385,0.0023953781966143694,0.00032570385353651495,0.0002956677632968364,7.354466858789626,0.0973288925655044
CAXhib4aemM,67508,2562,925,7290347,0.009259915886033957,0.00012688010598123792,0.0003514236016474936,72.98162162162163,0.04919162062666719
sP_gI2ahg74,496,134,14,72254,0.006864671852077394,0.00019376089905057158,0.001854568605198328,-2,0.00521264353548757
gejAAgwl4Kk,33717,3707,4878,7537921,0.00447298399651575,0.0006471280343744648,0.000491780160603965,6.912054120541206,0.009596126633956177
Z26wl4HIOcs,201,65,10,16296,0.012334315169366715,0.0006136475208640157,0.003988708885616102,-2,0.006892746487840075
bWKVxxv5Zow,6061,124,432,2013042,0.0030108661418887434,0.00021460058955550854,6.159831737241448e-05,14.030092592592593,0.008293205993595109
pWhEtUTNmic,7,0,0,1239,0.005649717514124294,0.0,0.0,-2,0.0779769574440653
MCFEYHoxUUc,3530,-1,50,658714,0.005358926635838922,7.590547642831334e-05,-1,70.6,0.013248628810161981
JPhI6n8X5xY,377,89,23,102598,0.0036745355659954385,0.0002241759098617907,0.0008674633033782335,-2,0.006990285353234038
5YOmrF5B2-w,2,0,0,227,0.00881057268722467,0.0,0.0,-2,0.02353169172273016
