videoId,comments/views
KLvBbtjZ0kM,0.0
dTWc3gsqgh8,0.0
DZvl9T6nw9o,0.0
an9fP8Xy2QE,0.0
FWIZNVgKplA,0.0
e893McDMBUw,0.0
ER9dRNE7cy4,0.0
RLV_yaYyQLk,0.0
Zsda3ZMpo2g,0.0
sjro931UJ_s,0.0
AdZCGKTUsmc,0.0
KAybdSF7Tes,0.0
PQgcz3dERBE,0.0
JiSUa6IJvVM,0.0
xmMZUihhJuA,0.0
6fbYGoF5kuk,0.0
u1380qlsOxY,0.0
OaUF-OQZj2c,0.0
Mxb3_clOKmY,0.0
BklL7rvW3Jc,0.0
ZDqcRtzveME,0.0
XX1k2GoepP4,0.0
GGFrfU9pagk,0.0
5-hvc4FxFD4,0.0
c3YOBzubIXk,0.0
ejLB6s5HvyI,0.0
SXm83naB7A4,0.0
LYqBjx7Qkec,0.0
Fm8Ah1s_XtQ,0.0
aNiRI7cIay8,0.0
qMnfMdYRpoU,0.0
K9dj8JYUZtk,0.0
Ajl5vAzMjH4,0.0
YWTmZwImH9o,0.0
zg5yfG6QGNE,0.0
bC59f3kX6-0,0.0
VFL2OFDxrVc,0.0
UyuTxXK5Bn8,0.0
cthwYXeKwyg,0.0
lh5Jttawd1E,0.0
QlOZR9yRTnA,0.0
DTDaJKniGes,0.0
8AsEtxuUlDo,0.0
SuIYw5jybmg,0.0
WJwwjN6BYrU,0.0
bAb_oqmqyVA,0.0
E_3v5vVqLjM,0.0
JitL6exvNd0,0.0
S07SqzxJpJg,0.0
fvzzV4YUMko,0.0
VT5SWbMeGZY,0.0
p824hbSmvCI,0.0
vpG7gqSWjH8,0.0
C-eWsbt2kxs,0.0
11ypZudY-9A,0.0
t-tWO5jBP5A,0.0
N-uBWfutf44,0.0
ubmo4e4PNrk,0.0
q3CzyDGI-Ak,0.0
7-wHjNAjMbY,0.0
m7UKRFnexJE,0.0
Q98fFXRlgwU,0.0
j75X5O9pv_A,0.0
ZYriJKQqSDk,0.0
l4P6TKgijFo,0.0
mXTPVcx10w0,0.0
lKAnZtF610w,-1
pWGNOsFuFkU,0.0
dcfh-1f465Y,0.0
gX-Netrek5g,0.0
Hnjayaozb9M,0.0
pnKUyrkMsf8,0.0
1Zo4xpI4UmE,0.0
